Дата;Смена;Цех;Оборудование;Сотрудник;Часы работы;Простой, мин;Причина простоя
04.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;6,33;100;Переналадка
2026-09-05;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,25;105;Поломка
05.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;8;0;
05.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
05.09.2026;дневная;Сборка;ASM-01;Волков О.Л.;7,42;35;Контроль качества
05.09.2026;Дневная;Сборка;ASM-02;  Попов А.Л. ;8;0;
05.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
05.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
05.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
07.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;7,42;35;Замена инструмента
07.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
07.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;6,92;65;Переналадка
07.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;8;0;
07.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;4,75;195;Нет материала
07.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
07.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
07.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
07.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;5,42;155;Нет материала
07.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
07.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;5,75;135;Поломка
07.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;5,67;140;Плановое ТО
07.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
2026-09-07;Дневная;Сварка;WLD-01;Фёдоров В.К.;6,25;105;Переналадка
07.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;7,42;35;Замена инструмента
07.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;6,25;105;Нет материала
07.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;4,83;190;Нет материала
07.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
08.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;7;60;Поломка
08.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;3,75;255;Поломка
08.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;6,67;80;Переналадка
08.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,5;30;Переналадка
08.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;5,17;170;Нет материала
08.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,33;40;Переналадка
08.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7,75;15;Замена инструмента
08.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
08.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
08.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7,75;15;Контроль качества
08.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
08.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;6,25;105;Переналадка
08.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;6;120;Переналадка
08.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
08.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
08.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;8;0;
08.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,33;40;Контроль качества
09.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;7,33;40;Замена инструмента
09.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;6,33;100;Переналадка
09.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;5,67;140;Поломка
09.09.2026;Дневная;Мехобработка;cnc-02 ;Морозов Л.Д.;6,5;90;Нет материала
09.09.2026;Вечерняя;Мехобработка;CNC-02;  Смирнов А.В. ;6,92;65;Переналадка
09.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;5,92;125;Нет материала
09.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;4,92;185;Нет материала
09.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
09.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
09.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;5,33;160;Нет материала
09.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
09.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
09.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;7,25;45;Переналадка
09.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;5,5;150;
09.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;7;60;Нет материала
09.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;5,83;130;Нет материала
09.09.2026;Дневная;Покраска;PNT-01;  Смирнов С.Г. ;7,17;50;Нет материала
10.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;5,33;160;Нет материала
10.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
10.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;7,42;35;Переналадка
10.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;8;0;
10.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,42;35;Контроль качества
10.09.2026;Ночная;Мехобработка;CNC-02;  Михайлов С.Л. ;8;0;
10.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;7,42;35;Переналадка
10.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
10.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
10.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;3,25;285;Поломка
10.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
10.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7;60;Переналадка
10.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
10.09.2026;дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
10.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
10.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;7,17;50;Контроль качества
10.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;5,33;160;Плановое ТО
10.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;6;120;Нет материала
2026-09-11;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
11.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;5,58;145;Плановое ТО
11.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;8;0;
11.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;6,08;115;Плановое ТО
11.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;4,83;190;Поломка
11.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,42;35;Замена инструмента
11.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
11.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;5,08;175;Поломка
11.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;6,08;115;Переналадка
11.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
11.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;6,08;115;Переналадка
11.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
11.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
11.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
11.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
11.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,58;25;Контроль качества
11.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;4,83;190;Поломка
12.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;7,5;30;Контроль качества
12.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,42;35;Переналадка
12.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
12.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;5,42;155;Нет материала
12.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7,33;40;Переналадка
12.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;7,33;40;Переналадка
12.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;5,67;140;Плановое ТО
12.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,5;30;Замена инструмента
14.09.2026;Дневная;Мехобработка;CNC-01;  Михайлов К.Д. ;6,17;110;Нет материала
2026-09-14;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;5,75;135;Плановое ТО
14.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;6,42;95;Переналадка
14.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;5,5;150;Поломка
14.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,42;35;Контроль качества
14.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;4,75;195;Поломка
14.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
14.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;3,92;245;Поломка
14.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
14.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7,58;25;Контроль качества
14.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7;60;Переналадка
14.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;6,42;95;Переналадка
14.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;7,08;55;Контроль качества
14.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
14.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
14.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;2,42;335;Поломка
14.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,17;50;Переналадка
14.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,33;40;Переналадка
15.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
15.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;7,08;55;Нет материала
15.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,42;35;Переналадка
15.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;2,25;345;Поломка
15.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,5;30;Переналадка
15.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;7,17;50;Контроль качества
15.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
15.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;6,75;75;Переналадка
15.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
15.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7,58;25;Контроль качества
15.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
15.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;6,5;90;Нет материала
15.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;2,08;355;Поломка
15.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;6,83;70;Нет материала
15.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
15.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;8;0;
15.09.2026;дневная;Покраска;PNT-01;Смирнов С.Г.;5,83;130;Плановое ТО
16.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;5,58;145;Плановое ТО
16.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;4,25;225;Поломка
16.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;8;0;
16.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;6,58;85;Переналадка
16.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;5,67;140;Поломка
16.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
16.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
16.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
16.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
16.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;7,33;40;Контроль качества
16.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;7,67;20;Замена инструмента
16.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;5,75;135;Плановое ТО
16.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;5,83;130;Нет материала
16.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;6,83;70;Нет материала
16.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;6,5;90;Переналадка
16.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,58;25;Замена инструмента
16.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
18.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
17.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,67;80;Переналадка
17.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
17.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;4,75;195;Поломка
17.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;6,25;105;Поломка
17.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;8;0;
17.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;2,75;315;Поломка
17.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
17.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;7,25;45;Контроль качества
17.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;6,33;100;Переналадка
17.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
17.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;6,75;75;Переналадка
17.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;7;60;Контроль качества
17.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;6,92;65;Нет материала
2026-09-17;Вечерняя;Сварка;WLD-01;Соколов К.А.;7,58;25;Контроль качества
17.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;8;0;
17.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,75;15;Замена инструмента
17.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,42;35;Переналадка
18.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
18.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;6,42;95;Нет материала
18.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;8;0;
18.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,67;20;Замена инструмента
18.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7;60;Переналадка
18.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;8;0;
18.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
18.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;3,58;265;Поломка
18.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;4,5;210;Поломка
2026-09-18;Дневная;Сборка;ASM-01;Волков О.Л.;7,33;40;Замена инструмента
18.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
18.09.2026;дневная;Сборка;ASM-02;Попов А.Л.;8;0;
18.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
18.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
18.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
18.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;3,33;280;Поломка
18.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,67;20;Контроль качества
18.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;5,67;140;Плановое ТО
19.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
19.09.2026;Дневная;Мехобработка;cnc-02 ;Морозов Л.Д.;3;300;Поломка
19.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;6,42;95;Переналадка
2026-09-19;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
19.09.2026;Дневная;Сборка;ASM-02;Попов А.Л.;8;0;
19.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
19.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;7,75;15;Контроль качества
19.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,17;50;Контроль качества
21.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;8;0;
21.09.2026;вечерняя;Мехобработка;CNC-01;Алексеев В.М.;7,33;40;Переналадка
21.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;7,58;25;
21.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;7,67;20;Замена инструмента
2026-09-21;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;6,08;115;Плановое ТО
21.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,67;20;Замена инструмента
21.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;8;0;
21.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
21.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
21.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;6,58;85;Переналадка
21.09.2026;Вечерняя;Сборка;ASM-01;Кузнецов Б.К.;8;0;
21.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;5,25;165;Плановое ТО
21.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;8;0;
21.09.2026;Вечерняя;Сварка;WLD-01;Соколов К.А.;8;0;
21.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;7,42;35;Переналадка
21.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;7,33;40;Контроль качества
21.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;7,5;30;Контроль качества
22.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,25;105;Переналадка
22.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;7,5;30;Замена инструмента
22.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;8;0;
22.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,33;40;Переналадка
22.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;7,5;30;Переналадка
22.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;6,83;70;Нет материала
22.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
22.09.2026;Ночная;Мехобработка;CNC-03;Иванов Е.Р.;8;0;
22.09.2026;Дневная;Сборка;ASM-01;Волков О.Л.;8;0;
22.09.2026;Вечерняя;Сборка;ASM-01;  Кузнецов Б.К. ;4,83;190;Нет материала
22.09.2026;Вечерняя;Сборка;ASM-02;Козлов И.Р.;8;0;
22.09.2026;Дневная;Сварка;WLD-01;Фёдоров В.К.;6,42;95;Плановое ТО
22.09.2026;вечерняя;Сварка;WLD-01;Соколов К.А.;7,42;35;Контроль качества
22.09.2026;Дневная;Сварка;WLD-02;Кузнецов П.Г.;6,83;70;Переналадка
22.09.2026;Вечерняя;Сварка;WLD-02;Попов В.Р.;4,25;225;Поломка
22.09.2026;Дневная;Покраска;PNT-01;Смирнов С.Г.;8;0;
23.09.2026;Дневная;Мехобработка;CNC-01;Михайлов К.Д.;6,5;90;Поломка
23.09.2026;Вечерняя;Мехобработка;CNC-01;Алексеев В.М.;8;0;
23.09.2026;Ночная;Мехобработка;CNC-01;Соколов Н.Г.;8;0;
23.09.2026;Дневная;Мехобработка;CNC-02;Морозов Л.Д.;5,83;130;Поломка
23.09.2026;Вечерняя;Мехобработка;CNC-02;Смирнов А.В.;7,08;55;Нет материала
23.09.2026;Ночная;Мехобработка;CNC-02;Михайлов С.Л.;6,92;65;Нет материала
23.09.2026;Дневная;Мехобработка;CNC-03;Николаев О.И.;7,75;15;Замена инструмента
23.09.2026;Вечерняя;Мехобработка;CNC-03;Попов П.Л.;8;0;
