Дата;Сотрудник;Проект;Задача;Часы;Оплачиваемо
02.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;2,5;Да
02.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,01;Да
03.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;0,81;Да
03.09.2026;Сольберг Мира;Поддержка;Обновление сервера;0,4;Да
03.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;0,57;Да
03.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;1,42;Да
03.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;1,46;Да
03.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;2,09;Да
03.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,25;Да
03.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;3,5;Да
03.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;3,78;Да
03.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,22;Да
03.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;2,87;Да
03.09.2026;Окафор Инес;Поддержка;Исправление ошибок;2,16;Да
03.09.2026;Окафор Инес;Клиентский портал;Код-ревью;1,31;Да
03.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,62;Да
03.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;0,54;Да
03.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;2,44;Да
03.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,96;Да
03.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;1,5;Да
03.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;1,74;Да
03.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;1,36;Да
04.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;1,21;Да
04.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,95;Да
04.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;3,05;Да
04.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;2,79;Да
04.09.2026;Варга Тео;Поддержка;Обновление сервера;1,66;Нет
04.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;3,7;Да
04.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;2,64;Да
04.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;3,98;Да
04.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;3,19;Да
04.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;0,33;Да
07.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,81;Да
07.09.2026;Сольберг Мира;Поддержка;Созвон с клиентом;3,11;Нет
07.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;2,08;Да
07.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;3,41;Да
07.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;3,65;Да
07.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;0,94;Да
07.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,1;Да
07.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;2,32;Да
07.09.2026;Окафор Инес;Клиентский портал;Код-ревью;0,34;Да
07.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;2,53;Да
07.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,71;Да
08.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;3,92;Да
08.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;3,57;Да
08.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,51;Да
08.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;3,1;Да
08.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;4,11;Да
08.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;1;Да
08.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;0,29;Да
08.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;1,66;Да
08.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;3,51;Нет
08.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;0,84;Да
08.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,71;Нет
08.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;0,78;Да
08.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;2,63;Да
08.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;0,59;Да
08.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;2,91;Да
08.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;0,87;Да
09.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;1,21;Да
09.09.2026;Сольберг Мира;Поддержка;Созвон с клиентом;3,96;Да
09.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,03;Да
09.09.2026;Сольберг Мира;Клиентский портал;Код-ревью;0,8;Да
09.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,05;Да
09.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;0,84;Да
09.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,44;Нет
09.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;3,76;Да
09.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;0,91;Да
09.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;2,33;Да
09.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;3,46;Да
09.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;2,21;Да
09.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;4,19;Да
09.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;3,81;Нет
10.09.2026;Сольберг Мира;Клиентский портал;Код-ревью;2,07;Да
10.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;1,26;Да
10.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,95;Да
10.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,72;Да
10.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;3,66;Да
10.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,64;Да
10.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;2,7;Да
10.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;3,05;Да
10.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;1,64;Да
10.09.2026;Окафор Инес;Поддержка;Исправление ошибок;1,75;Да
10.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;2,06;Да
10.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;3,19;Да
10.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;3,87;Да
10.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;0,94;Да
11.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,61;Нет
11.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;1,95;Нет
11.09.2026;Сольберг Мира;Поддержка;Обновление сервера;3,08;Да
11.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,36;Да
11.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,5;Да
11.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,41;Да
11.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;2,64;Да
11.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,45;Да
11.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;2;Нет
11.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;3,17;Да
11.09.2026;Окафор Инес;Клиентский портал;Код-ревью;0,83;Да
11.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;2,88;Да
11.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,26;Да
11.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;1,86;Да
14.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;0,86;Да
14.09.2026;Сольберг Мира;Поддержка;Обновление сервера;3,3;Да
14.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;3,34;Нет
14.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;3,68;Да
14.09.2026;Варга Тео;Клиентский портал;Код-ревью;1,42;Да
14.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,9;Да
14.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,85;Да
14.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;3,15;Да
14.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;1,83;Да
14.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;1,17;Да
14.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;2,86;Да
14.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,05;Да
14.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;2,59;Да
15.09.2026;Сольберг Мира;Поддержка;Обновление сервера;4,04;Да
15.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;2,43;Да
15.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;1,53;Нет
15.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;2,08;Да
15.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;1;Да
15.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,6;Да
15.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;2,32;Да
15.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;3,47;Да
15.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;0,72;Да
15.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;1,81;Да
15.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;0,88;Да
15.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;1,1;Да
15.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;1,37;Да
15.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;1,74;Да
15.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;1,48;Да
15.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;1,43;Да
16.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;3,16;Да
16.09.2026;Сольберг Мира;Поддержка;Созвон с клиентом;0,95;Нет
16.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;1,98;Да
16.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,21;Да
16.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,6;Да
16.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;2,74;Нет
16.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;1,53;Да
16.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,73;Да
16.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;1,44;Да
16.09.2026;Окафор Инес;Поддержка;Исправление ошибок;2,12;Да
16.09.2026;Окафор Инес;Клиентский портал;Страница статуса заказа;2,5;Да
16.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;0,96;Да
16.09.2026;Окафор Инес;Клиентский портал;Код-ревью;0,94;Да
16.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;1,62;Да
16.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;0,5;Да
16.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,7;Да
16.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,69;Да
16.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;0,99;Да
16.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;0,84;Да
16.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;1,16;Да
17.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;2,98;Да
17.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;0,63;Да
17.09.2026;Сольберг Мира;Клиентский портал;Авторизация и роли;1,76;Да
17.09.2026;Сольберг Мира;Мобильное приложение для цеха;Сканирование штрихкодов;1,63;Да
17.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;3,87;Да
17.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,5;Да
17.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;1,36;Да
17.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;0,71;Да
17.09.2026;Варга Тео;Поддержка;Созвон с клиентом;0,43;Да
17.09.2026;Окафор Инес;Клиентский портал;Код-ревью;2,34;Да
17.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;3,94;Да
17.09.2026;Окафор Инес;Поддержка;Обновление сервера;0,66;Да
17.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,06;Да
17.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;2,72;Да
17.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;1,67;Да
17.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;1,57;Да
17.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;0,8;Да
17.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;0,93;Да
17.09.2026;Бреннер Лука;Мобильное приложение для цеха;Push-уведомления;0,81;Да
18.09.2026;Варга Тео;Клиентский портал;Код-ревью;3,8;Да
18.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,91;Да
18.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;0,6;Да
18.09.2026;Варга Тео;Клиентский портал;Код-ревью;1,69;Да
18.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;1,82;Да
18.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;3,38;Да
18.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;0,8;Да
18.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;3,5;Да
18.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;3,01;Да
18.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;1,49;Да
21.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;2,77;Да
21.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,72;Да
21.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,66;Да
21.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;1,85;Да
21.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,64;Да
21.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;1,83;Да
21.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;0,58;Да
21.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;2,61;Да
21.09.2026;Варга Тео;Клиентский портал;Код-ревью;0,34;Да
21.09.2026;Окафор Инес;Поддержка;Исправление ошибок;3,5;Да
21.09.2026;Окафор Инес;Клиентский портал;Код-ревью;0,54;Да
21.09.2026;Окафор Инес;Поддержка;Созвон с клиентом;2,05;Да
21.09.2026;Окафор Инес;Мобильное приложение для цеха;Push-уведомления;1,91;Да
21.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;4,17;Да
21.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;0,35;Да
21.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,48;Да
22.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;3,91;Да
22.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,33;Да
22.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;3,26;Да
22.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;2,21;Да
22.09.2026;Варга Тео;Поддержка;Исправление ошибок;3,79;Нет
22.09.2026;Окафор Инес;Клиентский портал;Код-ревью;3,69;Да
22.09.2026;Окафор Инес;Мобильное приложение для цеха;Офлайн-синхронизация;3,63;Да
22.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;3,9;Да
22.09.2026;Бреннер Лука;Мобильное приложение для цеха;Сканирование штрихкодов;3,59;Да
23.09.2026;Варга Тео;Мобильное приложение для цеха;Сканирование штрихкодов;4,13;Да
23.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;3,11;Да
23.09.2026;Варга Тео;Мобильное приложение для цеха;Push-уведомления;1,26;Да
23.09.2026;Окафор Инес;Клиентский портал;Код-ревью;3,66;Да
23.09.2026;Окафор Инес;Клиентский портал;Авторизация и роли;3,29;Да
23.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,67;Нет
23.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;0,5;Да
23.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;3,48;Нет
23.09.2026;Бреннер Лука;Клиентский портал;Выгрузка отчётов;0,85;Да
24.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;0,64;Да
24.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;3,79;Да
24.09.2026;Сольберг Мира;Клиентский портал;Страница статуса заказа;3,22;Да
24.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,35;Да
24.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;0,38;Да
24.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;2,32;Да
24.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;4,08;Да
24.09.2026;Варга Тео;Мобильное приложение для цеха;Офлайн-синхронизация;0,22;Да
24.09.2026;Окафор Инес;Клиентский портал;Код-ревью;3,15;Да
24.09.2026;Окафор Инес;Клиентский портал;Код-ревью;2,41;Да
24.09.2026;Окафор Инес;Поддержка;Созвон с клиентом;2,42;Да
24.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;4,02;Да
24.09.2026;Бреннер Лука;Клиентский портал;Авторизация и роли;2,74;Да
24.09.2026;Бреннер Лука;Клиентский портал;Код-ревью;0,24;Да
25.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;4,18;Да
25.09.2026;Сольберг Мира;Клиентский портал;Выгрузка отчётов;2,98;Да
25.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;1,34;Да
25.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,72;Да
25.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;1,82;Да
25.09.2026;Варга Тео;Клиентский портал;Авторизация и роли;2,46;Да
25.09.2026;Окафор Инес;Мобильное приложение для цеха;Сканирование штрихкодов;4,05;Да
25.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;2,53;Да
25.09.2026;Окафор Инес;Клиентский портал;Выгрузка отчётов;1,42;Да
25.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,08;Да
25.09.2026;Бреннер Лука;Мобильное приложение для цеха;Офлайн-синхронизация;2,3;Да
25.09.2026;Бреннер Лука;Клиентский портал;Страница статуса заказа;2,62;Да
28.09.2026;Сольберг Мира;Мобильное приложение для цеха;Офлайн-синхронизация;0,31;Да
28.09.2026;Сольберг Мира;Поддержка;Обновление сервера;0,98;Да
28.09.2026;Сольберг Мира;Поддержка;Исправление ошибок;2,87;Да
28.09.2026;Сольберг Мира;Мобильное приложение для цеха;Push-уведомления;4,18;Да
28.09.2026;Варга Тео;Клиентский портал;Страница статуса заказа;1,96;Да
28.09.2026;Варга Тео;Клиентский портал;Код-ревью;0,67;Да
28.09.2026;Варга Тео;Клиентский портал;Выгрузка отчётов;2,17;Да
